layer,head,query_token,ctx_0,ctx_1,ctx_2,ctx_3,START,QCUR,S1,A2,R,QNXT,S3,A0,S3,A1,S3,A2,S3,A3,SEL,A2,UPD
3,3,SELECT,0.26805853843688965,0.2950946092605591,0.053409282118082047,0.13566608726978302,0.10921327024698257,0.08698860555887222,0.041422709822654724,0.00138493487611413,0.0002417193172732368,0.0013605188578367233,0.00017459056107327342,0.001282555633224547,0.000406866951379925,0.0004317664715927094,0.0005263598286546767,0.0011207376373931766,0.0006504573975689709,0.0006494031404145062,0.0019169956212863326,0.0,0.0
3,3,UPDATE,0.00025795731926336884,0.00028661885880865157,0.00017933275375980884,0.00022313032241072506,0.00027178600430488586,0.00028532001306302845,0.0003547887899912894,0.00027303388924337924,0.007775490637868643,0.00041381357004866004,0.07150516659021378,0.00047021580394357443,0.10541091859340668,0.12334655970335007,0.11126474291086197,0.0004960670485161245,0.11352629214525223,0.1282155066728592,0.19292476773262024,0.1423482596874237,0.00017028755974024534
3,4,SELECT,0.000707602477632463,0.0002527289616409689,0.0003471156524028629,0.00013926278916187584,8.058482490014285e-05,7.204698340501636e-05,3.7874669942539185e-05,0.0003236477787140757,2.4917251721490175e-05,0.00013409795064944774,3.9163311157608405e-05,0.0001396109291817993,7.808575173839927e-05,7.326716877287254e-05,0.00012055522529408336,0.0001648722100071609,0.00011671605898300186,0.00012765925202984363,0.9970200657844543,0.0,0.0
3,4,UPDATE,8.21359280962497e-05,0.00010609465243760496,4.91570754093118e-05,7.02993493177928e-05,8.732673450140283e-05,9.588994726072997e-05,0.00020300474716350436,0.0015968915540724993,0.05089203268289566,0.0017987710889428854,0.17410993576049805,0.0020343761425465345,0.14934104681015015,0.12650391459465027,0.120526023209095,0.002258723136037588,0.12150357663631439,0.11123626679182053,8.994974632514641e-05,0.1373361200094223,7.847621600376442e-05
3,5,SELECT,0.02490498125553131,0.04377218335866928,0.04079229757189751,0.01273669209331274,0.0073950765654444695,0.005266677588224411,0.002632390009239316,0.007198990788310766,0.0004249042831361294,0.0008362160297110677,0.00022905437799636275,0.0007548590074293315,0.0003756926453206688,0.00028379898867569864,0.0004002989735454321,0.0008070759940892458,0.0004278694686945528,0.0004431040433701128,0.8503178358078003,0.0,0.0
3,5,UPDATE,0.0009360570693388581,0.0008012730977497995,0.0003034407563973218,0.0005032721674069762,0.0007127448916435242,0.0006514578126370907,0.0013324153842404485,0.005131966434419155,0.049943916499614716,0.025040144100785255,0.15773333609104156,0.02695794403553009,0.1383625566959381,0.12740328907966614,0.1136772483587265,0.028752034530043602,0.11327148973941803,0.09783311933279037,0.002186194062232971,0.10751886665821075,0.0009472636156715453
3,6,SELECT,0.008614503778517246,0.010285614989697933,0.002622742671519518,0.0015452932566404343,0.0013172718463465571,0.000977110001258552,0.0007598503143526614,0.002219930524006486,0.0016665166476741433,0.0013670120388269424,0.005906319711357355,0.001435109181329608,0.013056492432951927,0.010981423780322075,0.015075406059622765,0.0016948013799265027,0.016498597338795662,0.017547929659485817,0.8864281177520752,0.0,0.0
3,6,UPDATE,0.00033156955032609403,0.00029715310665778816,0.0004730553482659161,0.0004835549625568092,0.0006002697627991438,0.0007404213538393378,0.0019057504832744598,0.1007099375128746,0.05686671659350395,0.3016918897628784,0.00534697575494647,0.27740567922592163,0.0019486225210130215,0.002002288121730089,0.001555061200633645,0.24270468950271606,0.0012695308541879058,0.0011177822016179562,0.00018805907166097313,0.0008950483170337975,0.0014658882282674313
3,7,SELECT,0.05068941414356232,0.11141368746757507,0.04268703609704971,0.03789914399385452,0.045155659317970276,0.031381383538246155,0.028573017567396164,0.04723554477095604,0.0015815856168046594,0.06627325713634491,0.00036020693369209766,0.05705210939049721,0.0003855784598272294,0.0003063490439672023,0.0003617341862991452,0.06300603598356247,0.0003345540608279407,0.00031265191501006484,0.41499102115631104,0.0,0.0
3,7,UPDATE,3.680400186567567e-05,3.618613482103683e-05,2.1030729840276763e-05,2.0726216462207958e-05,1.7275320715270936e-05,1.894370507216081e-05,3.344086144352332e-05,0.0008653165423311293,0.018369629979133606,0.0007320896256715059,0.14990706741809845,0.0008599777356721461,0.166543647646904,0.1336653232574463,0.14366361498832703,0.0008879523375071585,0.15813295543193817,0.11382804065942764,0.00013524155656341463,0.11218557506799698,3.9163609471870586e-05
4,0,SELECT,0.001765480381436646,0.003590785898268223,0.0023741803597658873,0.0010371668031439185,0.0007962514064274728,0.0007810124661773443,0.0006620491622015834,0.02081170119345188,0.05781792849302292,0.02413146197795868,0.10500897467136383,0.027298910543322563,0.1204337552189827,0.1625760793685913,0.1433025300502777,0.03600981831550598,0.13951395452022552,0.13627460598945618,0.015813438221812248,0.0,0.0
4,0,UPDATE,0.030480973422527313,0.059169869869947433,0.05028054490685463,0.07923109829425812,0.10535867512226105,0.11005500704050064,0.13030092418193817,0.04308260977268219,0.02340030111372471,0.03519120067358017,0.01965351775288582,0.03171301260590553,0.019078083336353302,0.017675267532467842,0.017530085518956184,0.03148552402853966,0.017779534682631493,0.017472043633461,0.13018934428691864,0.014608495868742466,0.01626387983560562
4,1,SELECT,0.0005788417183794081,0.0004308783682063222,0.00019567058188840747,8.14191807876341e-05,4.879328844253905e-05,3.478410144452937e-05,1.7956605006475e-05,0.00040288723539561033,2.12067552638473e-05,0.000106038038211409,1.963418981176801e-05,0.00012601698108483106,3.318552262498997e-05,2.440063690301031e-05,3.810338239418343e-05,0.0001720372965792194,3.875864786095917e-05,3.018713505298365e-05,0.9975993037223816,0.0,0.0
4,1,UPDATE,0.007033626548945904,0.005686487071216106,0.0027531820815056562,0.0036645913496613503,0.003585729980841279,0.004060071427375078,0.007521526888012886,0.04337574169039726,0.07845618575811386,0.029336662963032722,0.1192772388458252,0.02316562458872795,0.11173050105571747,0.11913901567459106,0.09852411597967148,0.021218642592430115,0.10992081463336945,0.10547894984483719,0.007431516423821449,0.09270528703927994,0.005934515036642551
4,2,SELECT,0.00011782158253481612,4.6582430513808504e-05,7.950067811179906e-05,1.1701437870215159e-05,6.773339009669144e-06,5.2418981795199215e-06,2.9530788197007496e-06,0.00013876461889594793,1.0237096830678638e-05,4.901978900306858e-05,1.5405912563437596e-05,0.0001031780630000867,2.356966615479905e-05,2.4231336283264682e-05,3.208085763617419e-05,0.0001742725435178727,3.2635260140523314e-05,3.554178329068236e-05,0.9990905523300171,0.0,0.0
4,2,UPDATE,5.1065169827779755e-05,4.8679325118428096e-05,1.832145790103823e-05,2.572358789620921e-05,3.0122517273412086e-05,3.3033582440111786e-05,6.670384027529508e-05,0.0015480935107916594,0.03974292427301407,0.004851461388170719,0.12774933874607086,0.007001254707574844,0.1364355981349945,0.140999898314476,0.1348818838596344,0.007655635010451078,0.14736779034137726,0.13434725999832153,0.00036053257645107806,0.1156788021326065,0.0011058730306103826
