construction,sweep,seed,max_cos,beta,sigma,dim,rho,T,max_pred_err,w_linf,w_l1,max_w_linf,decision_agree,regret_diff,beta_max,max_err,final_err,greedy_agree,select_agree
mwu,beta_route,5,0.0,5.0,,,,500,0.6466183462748122,0.641191838009566,1.2823836760191318,0.6611799683116883,0.8657314629258517,-2.0,,,,,
mwu,beta_route,6,0.0,5.0,,,,100,0.409278757557363,0.4049793882254962,0.8099587764509923,0.4139617885350201,0.92,2.0,,,,,
mwu,beta_route,6,0.0,5.0,,,,500,0.7489253040710346,0.6851460104047382,1.3702920208094764,0.7606368878430071,0.818,15.0,,,,,
mwu,beta_route,7,0.0,5.0,,,,100,0.4461587129883443,0.4506130096273769,0.901226019254754,0.4506130096273769,0.87,1.0,,,,,
mwu,beta_route,7,0.0,5.0,,,,500,0.7018899321949843,0.7436004786733894,1.4872009573467786,0.7436004786733894,0.854,1.0,,,,,
mwu,beta_route,8,0.0,5.0,,,,100,0.4177516491174423,0.4357609626361524,0.871521925272305,0.4357609626361524,0.9693877551020408,2.0,,,,,
mwu,beta_route,8,0.0,5.0,,,,500,0.6836967158839108,0.6881157605876469,1.3762315211752936,0.6975056094709703,0.923694779116466,13.0,,,,,
mwu,beta_route,9,0.0,5.0,,,,100,0.3477546019148839,0.3441690364966885,0.6883380729933769,0.3485083651926008,0.93,1.0,,,,,
mwu,beta_route,9,0.0,5.0,,,,500,0.6986440654017838,0.6933263202531518,1.3866526405063035,0.7134489647806079,0.894,-5.0,,,,,
mwu,beta_route,10,0.0,5.0,,,,100,0.4032609675284705,0.3598595707159947,0.7748366444310897,0.359965956995134,0.9591836734693876,1.0,,,,,
mwu,beta_route,10,0.0,5.0,,,,500,0.6828180627989535,0.6428375803017823,1.2856751606035646,0.7047749763143036,0.893574297188755,14.0,,,,,
mwu,beta_route,11,0.0,5.0,,,,100,0.3805669003597832,0.3316970833888017,0.7336717151052021,0.3354784448128667,0.9191919191919192,4.0,,,,,
mwu,beta_route,11,0.0,5.0,,,,500,0.6825413892441297,0.6497169057477901,1.29943381149558,0.6922678341354515,0.7895791583166333,33.0,,,,,
mwu,beta_route,12,0.0,5.0,,,,100,0.5874580489380639,0.5867393096370297,1.1734786192740592,0.5867393096370297,0.88,8.0,,,,,
mwu,beta_route,12,0.0,5.0,,,,500,0.7043906565413774,0.6171926831289245,1.234385366257849,0.705041197367034,0.826,71.0,,,,,
mwu,beta_route,13,0.0,5.0,,,,100,0.1932024962286928,0.1961413481440979,0.3922826962881959,0.198542776681687,0.96,-4.0,,,,,
mwu,beta_route,13,0.0,5.0,,,,500,0.449926630743284,0.4111694162822519,0.8499506394215545,0.4610153428747481,0.894,-25.0,,,,,
mwu,beta_route,14,0.0,5.0,,,,100,0.1827309840611476,0.1946854898891148,0.4479937942974431,0.1946854898891148,0.9591836734693876,5.0,,,,,
mwu,beta_route,14,0.0,5.0,,,,500,0.4808555359896099,0.2583860594639484,0.8716382844377291,0.3987123527949716,0.893574297188755,-20.0,,,,,
mwu,beta_route,15,0.0,5.0,,,,100,0.4071552277275898,0.4199921138410763,0.8399842276821525,0.4199921138410763,0.8877551020408163,5.0,,,,,
