beta,beta_max,nA,nS,alpha,gamma,rewards,seed,max_err,greedy_agree,self_vs_teacher
50.0,100000.0,2,8,0.2,0.95,clean,0,4.516223572892386e-08,1.0,0.0
50.0,100000.0,2,2,0.2,0.95,clean,1,8.127280270997517e-08,1.0,0.0
50.0,100000.0,2,8,0.2,0.95,noisy_negative,0,1.5624886717802156e-08,1.0,0.0
50.0,100000.0,2,2,0.2,0.95,noisy_negative,1,1.2905969848375776e-08,1.0,0.0
50.0,100000.0,2,8,0.5,0.9,clean,0,1.2494407730656576e-08,1.0,0.0
50.0,100000.0,2,2,0.5,0.9,clean,1,2.0568043268553993e-08,1.0,0.0
50.0,100000.0,2,8,0.5,0.9,noisy_negative,0,6.44758024748171e-09,1.0,0.0
50.0,100000.0,2,2,0.5,0.9,noisy_negative,1,9.322180222204324e-09,1.0,0.0
50.0,100000.0,2,8,0.5,0.95,clean,0,1.5798575780934243e-08,1.0,0.0
50.0,100000.0,2,2,0.5,0.95,clean,1,3.715931740089218e-08,1.0,0.0
50.0,100000.0,2,8,0.5,0.95,noisy_negative,0,6.570479937906271e-09,1.0,0.0
50.0,100000.0,2,2,0.5,0.95,noisy_negative,1,1.1235245289675788e-08,1.0,0.0
50.0,100000.0,3,8,0.1,0.9,clean,0,4.841663114873995e-08,1.0,0.0
50.0,100000.0,3,2,0.1,0.9,clean,1,9.707107651024671e-08,1.0,0.0
50.0,100000.0,3,8,0.1,0.9,noisy_negative,0,1.832899243492392e-08,1.0,0.0
50.0,100000.0,3,2,0.1,0.9,noisy_negative,1,3.0679715434800414e-08,1.0,0.0
50.0,100000.0,3,8,0.1,0.95,clean,0,5.4994734544067114e-08,1.0,0.0
50.0,100000.0,3,2,0.1,0.95,clean,1,1.4184369057090862e-07,1.0,0.0
50.0,100000.0,3,8,0.1,0.95,noisy_negative,0,2.0647740295309802e-08,1.0,0.0
50.0,100000.0,3,2,0.1,0.95,noisy_negative,1,5.958268012307144e-08,1.0,0.0
50.0,100000.0,3,8,0.2,0.9,clean,0,2.9012313440546222e-08,1.0,0.0
50.0,100000.0,3,2,0.2,0.9,clean,1,5.134251246374788e-08,1.0,0.0
50.0,100000.0,3,8,0.2,0.9,noisy_negative,0,1.623342904544245e-08,1.0,0.0
50.0,100000.0,3,2,0.2,0.9,noisy_negative,1,1.9332368816904477e-08,1.0,0.0
50.0,100000.0,3,8,0.2,0.95,clean,0,3.780333024394622e-08,1.0,0.0
50.0,100000.0,3,2,0.2,0.95,clean,1,7.774163002238765e-08,1.0,0.0
50.0,100000.0,3,8,0.2,0.95,noisy_negative,0,1.9460003164439854e-08,1.0,0.0
50.0,100000.0,3,2,0.2,0.95,noisy_negative,1,3.130759651526205e-08,1.0,0.0
50.0,100000.0,3,8,0.5,0.9,clean,0,1.2708129659699807e-08,1.0,0.0
50.0,100000.0,3,2,0.5,0.9,clean,1,2.0401455635976617e-08,1.0,0.0
50.0,100000.0,3,8,0.5,0.9,noisy_negative,0,8.552045072107717e-09,1.0,0.0
50.0,100000.0,3,2,0.5,0.9,noisy_negative,1,1.226937018650176e-08,1.0,0.0
50.0,100000.0,3,8,0.5,0.95,clean,0,1.7550170205993254e-08,1.0,0.0
50.0,100000.0,3,2,0.5,0.95,clean,1,3.074125309865394e-08,1.0,0.0
50.0,100000.0,3,8,0.5,0.95,noisy_negative,0,1.1312273784369609e-08,1.0,0.0
50.0,100000.0,3,2,0.5,0.95,noisy_negative,1,1.7099130555919828e-08,1.0,0.0
50.0,100000.0,4,8,0.1,0.9,clean,0,4.579198220611147e-08,1.0,0.0
50.0,100000.0,4,2,0.1,0.9,clean,1,8.907998871876543e-08,1.0,0.0
50.0,100000.0,4,8,0.1,0.9,noisy_negative,0,6.395853291429887e-08,1.0,0.0
50.0,100000.0,4,2,0.1,0.9,noisy_negative,1,2.979677460324126e-08,1.0,0.0
50.0,100000.0,4,8,0.1,0.95,clean,0,5.2458248855913325e-08,1.0,0.0
50.0,100000.0,4,2,0.1,0.95,clean,1,1.2063058640876534e-07,1.0,0.0
50.0,100000.0,4,8,0.1,0.95,noisy_negative,0,2.6683967258023245e-08,1.0,0.0
50.0,100000.0,4,2,0.1,0.95,noisy_negative,1,4.794291119658567e-08,1.0,0.0
50.0,100000.0,4,8,0.2,0.9,clean,0,2.5853124974162256e-08,1.0,0.0
50.0,100000.0,4,2,0.2,0.9,clean,1,4.639420225771573e-08,1.0,0.0
50.0,100000.0,4,8,0.2,0.9,noisy_negative,0,1.2585880115878467e-08,1.0,0.0
50.0,100000.0,4,2,0.2,0.9,noisy_negative,1,1.6937344637923957e-08,1.0,0.0
50.0,100000.0,4,8,0.2,0.95,clean,0,3.198172837670654e-08,1.0,0.0
50.0,100000.0,4,2,0.2,0.95,clean,1,6.564156862509662e-08,1.0,0.0
50.0,100000.0,4,8,0.2,0.95,noisy_negative,0,2.197093817990492e-08,1.0,0.0
50.0,100000.0,4,2,0.2,0.95,noisy_negative,1,2.985866798255188e-08,1.0,0.0
50.0,100000.0,4,8,0.5,0.9,clean,0,2.726191095092645e-08,1.0,0.0
50.0,100000.0,4,2,0.5,0.9,clean,1,2.3809787030870666e-08,1.0,0.0
50.0,100000.0,4,8,0.5,0.9,noisy_negative,0,6.237003649656181e-09,1.0,0.0
50.0,100000.0,4,2,0.5,0.9,noisy_negative,1,1.080490763527564e-08,1.0,0.0
50.0,100000.0,4,8,0.5,0.95,clean,0,3.9148575936565067e-08,1.0,0.0
50.0,100000.0,4,2,0.5,0.95,clean,1,5.642690403817596e-08,1.0,0.0
50.0,100000.0,4,8,0.5,0.95,noisy_negative,0,1.0861767929526422e-08,1.0,0.0
50.0,100000.0,4,2,0.5,0.95,noisy_negative,1,1.2034073293420988e-08,1.0,0.0
1000.0,1000.0,2,8,0.1,0.9,clean,0,4.4969572288167114e-08,1.0,0.0
1000.0,1000.0,2,2,0.1,0.9,clean,1,1.8784973576657649e-13,1.0,0.0
1000.0,1000.0,2,8,0.1,0.9,noisy_negative,0,2.1676215394568488e-05,1.0,0.0
1000.0,1000.0,2,2,0.1,0.9,noisy_negative,1,5.888013822530347e-05,1.0,0.0
1000.0,1000.0,2,8,0.1,0.95,clean,0,8.044214469538069e-08,1.0,0.0
1000.0,1000.0,2,2,0.1,0.95,clean,1,2.0605739337042905e-13,1.0,0.0
1000.0,1000.0,2,8,0.1,0.95,noisy_negative,0,2.4677046557765314e-05,1.0,0.0
1000.0,1000.0,2,2,0.1,0.95,noisy_negative,1,3.761761569646277e-05,1.0,0.0
1000.0,1000.0,2,8,0.2,0.9,clean,0,2.788521497326668e-05,1.0,0.0
1000.0,1000.0,2,2,0.2,0.9,clean,1,1.4477308241112041e-13,1.0,0.0
1000.0,1000.0,2,8,0.2,0.9,noisy_negative,0,5.041015186765807e-05,1.0,0.0
1000.0,1000.0,2,2,0.2,0.9,noisy_negative,1,9.600829941902589e-05,1.0,0.0
1000.0,1000.0,2,8,0.2,0.95,clean,0,6.912225231692215e-06,1.0,0.0
1000.0,1000.0,2,2,0.2,0.95,clean,1,2.984279490192421e-13,1.0,0.0
1000.0,1000.0,2,8,0.2,0.95,noisy_negative,0,1.5199955420125422e-05,1.0,0.0
1000.0,1000.0,2,2,0.2,0.95,noisy_negative,1,8.469707477609667e-05,1.0,0.0
1000.0,1000.0,2,8,0.5,0.9,clean,0,0.00010403841952566495,1.0,0.0
1000.0,1000.0,2,2,0.5,0.9,clean,1,5.473793280508232e-05,1.0,0.0
1000.0,1000.0,2,8,0.5,0.9,noisy_negative,0,7.348661212802643e-05,1.0,0.0
1000.0,1000.0,2,2,0.5,0.9,noisy_negative,1,3.262814437432482e-05,1.0,0.0
1000.0,1000.0,2,8,0.5,0.95,clean,0,1.8543561353112636e-08,1.0,0.0
1000.0,1000.0,2,2,0.5,0.95,clean,1,0.00013774386643472525,1.0,0.0
1000.0,1000.0,2,8,0.5,0.95,noisy_negative,0,3.821037359785784e-05,1.0,0.0
1000.0,1000.0,2,2,0.5,0.95,noisy_negative,1,0.00010813299847711733,1.0,0.0
1000.0,1000.0,3,8,0.1,0.9,clean,0,1.0266422243054851e-05,1.0,0.0
1000.0,1000.0,3,2,0.1,0.9,clean,1,1.977935968344724e-07,1.0,0.0
1000.0,1000.0,3,8,0.1,0.9,noisy_negative,0,3.4110940589582306e-05,1.0,0.0
1000.0,1000.0,3,2,0.1,0.9,noisy_negative,1,2.928093391726949e-05,1.0,0.0
1000.0,1000.0,3,8,0.1,0.95,clean,0,8.303996893277432e-06,1.0,0.0
1000.0,1000.0,3,2,0.1,0.95,clean,1,9.928574388362588e-06,1.0,0.0
1000.0,1000.0,3,8,0.1,0.95,noisy_negative,0,6.410527696543156e-05,1.0,0.0
1000.0,1000.0,3,2,0.1,0.95,noisy_negative,1,3.658590098765124e-05,1.0,0.0
1000.0,1000.0,3,8,0.2,0.9,clean,0,8.596456879672587e-13,1.0,0.0
1000.0,1000.0,3,2,0.2,0.9,clean,1,1.092459456231154e-13,1.0,0.0
1000.0,1000.0,3,8,0.2,0.9,noisy_negative,0,5.0014994092739684e-05,1.0,0.0
